day_index,date,cases,disease,series_label,T1,T2,Tp,T3
0,2023-05-27,1,mpox,Mpox 2023,49,52,56,113
1,2023-05-28,0,mpox,Mpox 2023,49,52,56,113
2,2023-05-29,0,mpox,Mpox 2023,49,52,56,113
3,2023-05-30,0,mpox,Mpox 2023,49,52,56,113
4,2023-05-31,0,mpox,Mpox 2023,49,52,56,113
5,2023-06-01,1,mpox,Mpox 2023,49,52,56,113
6,2023-06-02,0,mpox,Mpox 2023,49,52,56,113
7,2023-06-03,0,mpox,Mpox 2023,49,52,56,113
8,2023-06-04,1,mpox,Mpox 2023,49,52,56,113
9,2023-06-05,0,mpox,Mpox 2023,49,52,56,113
10,2023-06-06,1,mpox,Mpox 2023,49,52,56,113
11,2023-06-07,1,mpox,Mpox 2023,49,52,56,113
12,2023-06-08,0,mpox,Mpox 2023,49,52,56,113
13,2023-06-09,1,mpox,Mpox 2023,49,52,56,113
14,2023-06-10,3,mpox,Mpox 2023,49,52,56,113
15,2023-06-11,2,mpox,Mpox 2023,49,52,56,113
16,2023-06-12,0,mpox,Mpox 2023,49,52,56,113
17,2023-06-13,0,mpox,Mpox 2023,49,52,56,113
18,2023-06-14,2,mpox,Mpox 2023,49,52,56,113
19,2023-06-15,0,mpox,Mpox 2023,49,52,56,113
20,2023-06-16,0,mpox,Mpox 2023,49,52,56,113
21,2023-06-17,0,mpox,Mpox 2023,49,52,56,113
22,2023-06-18,3,mpox,Mpox 2023,49,52,56,113
23,2023-06-19,0,mpox,Mpox 2023,49,52,56,113
24,2023-06-20,0,mpox,Mpox 2023,49,52,56,113
25,2023-06-21,1,mpox,Mpox 2023,49,52,56,113
26,2023-06-22,0,mpox,Mpox 2023,49,52,56,113
27,2023-06-23,0,mpox,Mpox 2023,49,52,56,113
28,2023-06-24,2,mpox,Mpox 2023,49,52,56,113
29,2023-06-25,2,mpox,Mpox 2023,49,52,56,113
30,2023-06-26,5,mpox,Mpox 2023,49,52,56,113
31,2023-06-27,5,mpox,Mpox 2023,49,52,56,113
32,2023-06-28,5,mpox,Mpox 2023,49,52,56,113
33,2023-06-29,1,mpox,Mpox 2023,49,52,56,113
34,2023-06-30,0,mpox,Mpox 2023,49,52,56,113
35,2023-07-01,3,mpox,Mpox 2023,49,52,56,113
36,2023-07-02,1,mpox,Mpox 2023,49,52,56,113
37,2023-07-03,1,mpox,Mpox 2023,49,52,56,113
38,2023-07-04,1,mpox,Mpox 2023,49,52,56,113
39,2023-07-05,0,mpox,Mpox 2023,49,52,56,113
40,2023-07-06,1,mpox,Mpox 2023,49,52,56,113
41,2023-07-07,1,mpox,Mpox 2023,49,52,56,113
42,2023-07-08,3,mpox,Mpox 2023,49,52,56,113
43,2023-07-09,1,mpox,Mpox 2023,49,52,56,113
44,2023-07-10,0,mpox,Mpox 2023,49,52,56,113
45,2023-07-11,2,mpox,Mpox 2023,49,52,56,113
46,2023-07-12,0,mpox,Mpox 2023,49,52,56,113
47,2023-07-13,4,mpox,Mpox 2023,49,52,56,113
48,2023-07-14,4,mpox,Mpox 2023,49,52,56,113
49,2023-07-15,3,mpox,Mpox 2023,49,52,56,113
50,2023-07-16,2,mpox,Mpox 2023,49,52,56,113
51,2023-07-17,7,mpox,Mpox 2023,49,52,56,113
52,2023-07-18,2,mpox,Mpox 2023,49,52,56,113
53,2023-07-19,4,mpox,Mpox 2023,49,52,56,113
54,2023-07-20,1,mpox,Mpox 2023,49,52,56,113
55,2023-07-21,3,mpox,Mpox 2023,49,52,56,113
56,2023-07-22,1,mpox,Mpox 2023,49,52,56,113
57,2023-07-23,4,mpox,Mpox 2023,49,52,56,113
58,2023-07-24,2,mpox,Mpox 2023,49,52,56,113
59,2023-07-25,1,mpox,Mpox 2023,49,52,56,113
60,2023-07-26,0,mpox,Mpox 2023,49,52,56,113
61,2023-07-27,0,mpox,Mpox 2023,49,52,56,113
62,2023-07-28,4,mpox,Mpox 2023,49,52,56,113
63,2023-07-29,2,mpox,Mpox 2023,49,52,56,113
64,2023-07-30,3,mpox,Mpox 2023,49,52,56,113
65,2023-07-31,6,mpox,Mpox 2023,49,52,56,113
66,2023-08-01,2,mpox,Mpox 2023,49,52,56,113
67,2023-08-02,2,mpox,Mpox 2023,49,52,56,113
68,2023-08-03,1,mpox,Mpox 2023,49,52,56,113
69,2023-08-04,1,mpox,Mpox 2023,49,52,56,113
70,2023-08-05,2,mpox,Mpox 2023,49,52,56,113
71,2023-08-06,0,mpox,Mpox 2023,49,52,56,113
72,2023-08-07,1,mpox,Mpox 2023,49,52,56,113
73,2023-08-08,1,mpox,Mpox 2023,49,52,56,113
74,2023-08-09,1,mpox,Mpox 2023,49,52,56,113
75,2023-08-10,1,mpox,Mpox 2023,49,52,56,113
76,2023-08-11,4,mpox,Mpox 2023,49,52,56,113
77,2023-08-12,0,mpox,Mpox 2023,49,52,56,113
78,2023-08-13,3,mpox,Mpox 2023,49,52,56,113
79,2023-08-14,0,mpox,Mpox 2023,49,52,56,113
80,2023-08-15,4,mpox,Mpox 2023,49,52,56,113
81,2023-08-16,3,mpox,Mpox 2023,49,52,56,113
82,2023-08-17,0,mpox,Mpox 2023,49,52,56,113
83,2023-08-18,1,mpox,Mpox 2023,49,52,56,113
84,2023-08-19,0,mpox,Mpox 2023,49,52,56,113
85,2023-08-20,1,mpox,Mpox 2023,49,52,56,113
86,2023-08-21,1,mpox,Mpox 2023,49,52,56,113
87,2023-08-22,3,mpox,Mpox 2023,49,52,56,113
88,2023-08-23,0,mpox,Mpox 2023,49,52,56,113
89,2023-08-24,2,mpox,Mpox 2023,49,52,56,113
90,2023-08-25,2,mpox,Mpox 2023,49,52,56,113
91,2023-08-26,0,mpox,Mpox 2023,49,52,56,113
92,2023-08-27,1,mpox,Mpox 2023,49,52,56,113
93,2023-08-28,2,mpox,Mpox 2023,49,52,56,113
94,2023-08-29,4,mpox,Mpox 2023,49,52,56,113
95,2023-08-30,2,mpox,Mpox 2023,49,52,56,113
96,2023-08-31,2,mpox,Mpox 2023,49,52,56,113
97,2023-09-01,3,mpox,Mpox 2023,49,52,56,113
98,2023-09-02,0,mpox,Mpox 2023,49,52,56,113
99,2023-09-03,0,mpox,Mpox 2023,49,52,56,113
100,2023-09-04,3,mpox,Mpox 2023,49,52,56,113
101,2023-09-05,0,mpox,Mpox 2023,49,52,56,113
102,2023-09-06,1,mpox,Mpox 2023,49,52,56,113
103,2023-09-07,3,mpox,Mpox 2023,49,52,56,113
104,2023-09-08,0,mpox,Mpox 2023,49,52,56,113
105,2023-09-09,0,mpox,Mpox 2023,49,52,56,113
106,2023-09-10,0,mpox,Mpox 2023,49,52,56,113
107,2023-09-11,0,mpox,Mpox 2023,49,52,56,113
108,2023-09-12,0,mpox,Mpox 2023,49,52,56,113
109,2023-09-13,0,mpox,Mpox 2023,49,52,56,113
110,2023-09-14,1,mpox,Mpox 2023,49,52,56,113
111,2023-09-15,1,mpox,Mpox 2023,49,52,56,113
112,2023-09-16,0,mpox,Mpox 2023,49,52,56,113
113,2023-09-17,1,mpox,Mpox 2023,49,52,56,113
114,2023-09-18,0,mpox,Mpox 2023,49,52,56,113
115,2023-09-19,1,mpox,Mpox 2023,49,52,56,113
116,2023-09-20,0,mpox,Mpox 2023,49,52,56,113
117,2023-09-21,2,mpox,Mpox 2023,49,52,56,113
118,2023-09-22,0,mpox,Mpox 2023,49,52,56,113
119,2023-09-23,0,mpox,Mpox 2023,49,52,56,113
120,2023-09-24,0,mpox,Mpox 2023,49,52,56,113
121,2023-09-25,0,mpox,Mpox 2023,49,52,56,113
122,2023-09-26,0,mpox,Mpox 2023,49,52,56,113
123,2023-09-27,0,mpox,Mpox 2023,49,52,56,113
124,2023-09-28,0,mpox,Mpox 2023,49,52,56,113
125,2023-09-29,0,mpox,Mpox 2023,49,52,56,113
126,2023-09-30,0,mpox,Mpox 2023,49,52,56,113
127,2023-10-01,0,mpox,Mpox 2023,49,52,56,113
128,2023-10-02,0,mpox,Mpox 2023,49,52,56,113
129,2023-10-03,0,mpox,Mpox 2023,49,52,56,113
130,2023-10-04,0,mpox,Mpox 2023,49,52,56,113
131,2023-10-05,0,mpox,Mpox 2023,49,52,56,113
132,2023-10-06,0,mpox,Mpox 2023,49,52,56,113
133,2023-10-07,1,mpox,Mpox 2023,49,52,56,113
134,2023-10-08,1,mpox,Mpox 2023,49,52,56,113
135,2023-10-09,1,mpox,Mpox 2023,49,52,56,113
136,2023-10-10,1,mpox,Mpox 2023,49,52,56,113
137,2023-10-11,0,mpox,Mpox 2023,49,52,56,113
138,2023-10-12,0,mpox,Mpox 2023,49,52,56,113
139,2023-10-13,0,mpox,Mpox 2023,49,52,56,113
140,2023-10-14,0,mpox,Mpox 2023,49,52,56,113
141,2023-10-15,0,mpox,Mpox 2023,49,52,56,113
142,2023-10-16,0,mpox,Mpox 2023,49,52,56,113
143,2023-10-17,0,mpox,Mpox 2023,49,52,56,113
144,2023-10-18,0,mpox,Mpox 2023,49,52,56,113
145,2023-10-19,0,mpox,Mpox 2023,49,52,56,113
146,2023-10-20,0,mpox,Mpox 2023,49,52,56,113
147,2023-10-21,0,mpox,Mpox 2023,49,52,56,113
148,2023-10-22,0,mpox,Mpox 2023,49,52,56,113
149,2023-10-23,0,mpox,Mpox 2023,49,52,56,113
150,2023-10-24,1,mpox,Mpox 2023,49,52,56,113
151,2023-10-25,0,mpox,Mpox 2023,49,52,56,113
152,2023-10-26,0,mpox,Mpox 2023,49,52,56,113
153,2023-10-27,1,mpox,Mpox 2023,49,52,56,113
154,2023-10-28,1,mpox,Mpox 2023,49,52,56,113
155,2023-10-29,0,mpox,Mpox 2023,49,52,56,113
156,2023-10-30,0,mpox,Mpox 2023,49,52,56,113
157,2023-10-31,0,mpox,Mpox 2023,49,52,56,113
158,2023-11-01,1,mpox,Mpox 2023,49,52,56,113
159,2023-11-02,0,mpox,Mpox 2023,49,52,56,113
160,2023-11-03,0,mpox,Mpox 2023,49,52,56,113
161,2023-11-04,0,mpox,Mpox 2023,49,52,56,113
162,2023-11-05,0,mpox,Mpox 2023,49,52,56,113
163,2023-11-06,0,mpox,Mpox 2023,49,52,56,113
164,2023-11-07,2,mpox,Mpox 2023,49,52,56,113
165,2023-11-08,0,mpox,Mpox 2023,49,52,56,113
