day_index,date,cases,disease,series_label,T1,T2,Tp,T3
166,2023-11-09,0,mpox,Mpox 2023,49,52,56,113
167,2023-11-10,0,mpox,Mpox 2023,49,52,56,113
168,2023-11-11,0,mpox,Mpox 2023,49,52,56,113
169,2023-11-12,0,mpox,Mpox 2023,49,52,56,113
170,2023-11-13,0,mpox,Mpox 2023,49,52,56,113
171,2023-11-14,0,mpox,Mpox 2023,49,52,56,113
172,2023-11-15,0,mpox,Mpox 2023,49,52,56,113
173,2023-11-16,0,mpox,Mpox 2023,49,52,56,113
174,2023-11-17,0,mpox,Mpox 2023,49,52,56,113
175,2023-11-18,0,mpox,Mpox 2023,49,52,56,113
176,2023-11-19,0,mpox,Mpox 2023,49,52,56,113
177,2023-11-20,0,mpox,Mpox 2023,49,52,56,113
178,2023-11-21,0,mpox,Mpox 2023,49,52,56,113
179,2023-11-22,0,mpox,Mpox 2023,49,52,56,113
180,2023-11-23,0,mpox,Mpox 2023,49,52,56,113
181,2023-11-24,1,mpox,Mpox 2023,49,52,56,113
182,2023-11-25,0,mpox,Mpox 2023,49,52,56,113
183,2023-11-26,0,mpox,Mpox 2023,49,52,56,113
184,2023-11-27,0,mpox,Mpox 2023,49,52,56,113
185,2023-11-28,0,mpox,Mpox 2023,49,52,56,113
186,2023-11-29,0,mpox,Mpox 2023,49,52,56,113
187,2023-11-30,1,mpox,Mpox 2023,49,52,56,113
188,2023-12-01,1,mpox,Mpox 2023,49,52,56,113
189,2023-12-02,1,mpox,Mpox 2023,49,52,56,113
190,2023-12-03,0,mpox,Mpox 2023,49,52,56,113
191,2023-12-04,0,mpox,Mpox 2023,49,52,56,113
192,2023-12-05,0,mpox,Mpox 2023,49,52,56,113
193,2023-12-06,0,mpox,Mpox 2023,49,52,56,113
194,2023-12-07,1,mpox,Mpox 2023,49,52,56,113
195,2023-12-08,0,mpox,Mpox 2023,49,52,56,113
196,2023-12-09,1,mpox,Mpox 2023,49,52,56,113
197,2023-12-10,1,mpox,Mpox 2023,49,52,56,113
198,2023-12-11,0,mpox,Mpox 2023,49,52,56,113
199,2023-12-12,0,mpox,Mpox 2023,49,52,56,113
200,2023-12-13,0,mpox,Mpox 2023,49,52,56,113
201,2023-12-14,0,mpox,Mpox 2023,49,52,56,113
202,2023-12-15,1,mpox,Mpox 2023,49,52,56,113
203,2023-12-16,0,mpox,Mpox 2023,49,52,56,113
204,2023-12-17,0,mpox,Mpox 2023,49,52,56,113
205,2023-12-18,0,mpox,Mpox 2023,49,52,56,113
206,2023-12-19,0,mpox,Mpox 2023,49,52,56,113
207,2023-12-20,0,mpox,Mpox 2023,49,52,56,113
208,2023-12-21,0,mpox,Mpox 2023,49,52,56,113
209,2023-12-22,0,mpox,Mpox 2023,49,52,56,113
210,2023-12-23,0,mpox,Mpox 2023,49,52,56,113
211,2023-12-24,1,mpox,Mpox 2023,49,52,56,113
212,2023-12-25,0,mpox,Mpox 2023,49,52,56,113
213,2023-12-26,0,mpox,Mpox 2023,49,52,56,113
214,2023-12-27,1,mpox,Mpox 2023,49,52,56,113
