day,daily_cases,residual_trend,IMF1,high_band_energy,mid_band_energy,low_band_energy,T1_structural_score,T2_structural_score,IMF2,IMF3,IMF4
0.0,39.69922530381535,23.154758391888354,0.0,0.06904666989062608,0.0003208224532811739,0.0,0.2552776685593134,0.3060986929178737,0.0,0.0,0.0
1.0,41.382155118361446,23.34236175074489,18.07159019394524,0.07602894551157321,0.0005647845086308686,0.0,0.26989842396417685,0.30015150678506886,13.043694081843263,4.5711193914899555,2.154513323712543
2.0,9.9417635265067,23.71801507334196,-35.08247468520192,0.08839381410227438,0.0011404073594178511,0.0,0.29704512802959804,0.2894139866512501,9.15584691696983,4.056576238855407,3.741334883100732
3.0,11.96005770455195,24.282622084710933,31.821439081211647,0.10345968749194369,0.0022087622065916322,0.0,0.3333945535521574,0.2760476442923267,-6.671318639471184,-0.7540885285417396,4.511583982303339
4.0,8.746500573246147,25.037855786151702,-15.243974953276023,0.11828217549939121,0.0039675062354717315,0.0,0.37553619967851726,0.2631049250842087,-22.953754335961758,-7.147988787329865,4.5636739739215075
5.0,21.491244172651946,25.98667278199946,-11.72704075376461,0.13044690520188726,0.0065858981079089576,0.0,0.4207314205727515,0.25443582790960884,-21.691907791269568,-12.52262353148477,4.111685557939386
6.0,19.69437258538817,27.133742827304218,-46.81657150101165,0.13855472483266423,0.010118201945806359,0.0,0.4670579376487852,0.25420403094307187,-1.5327425230278635,-14.871601301512433,3.3867333624029023
7.0,18.57310857110495,28.485581942883314,44.269506605969845,0.14228882867089648,0.014435290051393495,0.0,0.5131564423089043,0.265581874300868,19.12727900665646,-13.414623933007613,2.5291232007001105
8.0,30.3113995411743,30.05061824113536,-14.486178334922117,0.14214819584311914,0.019204717365883778,0.0,0.5579320819382813,0.2890199373268475,20.506773367912817,-8.088853450050332,1.5977151796777136
9.0,16.055036157488395,31.83940805996561,-14.909439714821495,0.13904336991983327,0.023952228102522087,2.2338558507441477e-07,0.6004239952189334,0.3214371148249561,2.581434335557262,0.43338672308302034,0.635161815838913
10.0,21.503296073521547,33.86415144274742,16.829933862556317,0.13393884715113535,0.02818879615514403,1.1402495374739716e-06,0.6398579464963535,0.357394960970967,-18.273714090085978,10.86753026149657,-0.3237252207686723
11.0,52.42308943147079,36.13696705866035,15.1230469827323,0.1276463568549952,0.03155095978695856,4.146458998062952e-06,0.6757834797282407,0.3916655861774637,-25.34658956168511,21.145123701020186,-1.2750067775433582
12.0,29.428729486773186,38.66801724560359,-9.389151559431895,0.12073856988147307,0.033891415077556136,1.2429225054923125e-05,0.7081816104950712,0.42132024690195813,-16.010887947917173,29.260607612303488,-2.2563700050451323
13.0,69.961028268294,41.46399738916699,-29.674636586348893,0.11358421248985173,0.03528444348215759,3.360121588866694e-05,0.7374675386980623,0.4460426771883821,1.6941627434744941,34.412956220599526,-3.335415580672963
14.0,45.3401118090511,44.52605944998024,7.8800617913770665,0.1063913401166209,0.0359569212492844,8.297584686973148e-05,0.7643672622601679,0.46702664118573045,14.622449247011884,36.55544745328132,-4.574064195297356
15.0,60.422455663828956,47.847925093454634,9.789629431384828,0.09926409014836454,0.036189158497094684,0.00018846443023986213,0.7896938530650927,0.4856980768760588,3.89382355314329,36.37294659336006,-6.048386106723645
16.0,75.93505915618519,51.41493973134362,-4.212860566555895,0.09225498566860196,0.03623230533715197,0.0003960963435750344,0.8140777250841482,0.5030700547631429,-17.76888553304615,35.56480618076889,-7.839458726617252
17.0,70.337096513835,55.2039157134403,-11.876415467641307,0.08541243108086015,0.03626673132749802,0.0007729270404494715,0.8377170718275118,0.5197190504296658,-23.244229834549596,35.62110106624743,-10.020297118178762
18.0,82.10966862989324,59.183937053642566,-32.385991541349576,0.0788439661623635,0.03639898725051641,0.0014054132743692672,0.8602138872723069,0.5360037456856139,-11.79914250605186,37.1985107593622,-12.643474564347983
19.0,106.8425419986435,63.31846332256695,23.585057073712022,0.0727436758121504,0.03667992183365986,0.0023898882358200186,0.8805514855723935,0.5522404123800564,0.06529107532923699,40.26478577257355,-15.741210212570337
20.0,114.26909101190567,67.56871344931969,0.9666342117929716,0.06743297400803344,0.03712620383035797,0.003815877499949552,0.8972487825073081,0.5687490148915186,6.209873626656635,44.40490612655702,-19.32422602303303
21.0,124.42472749491691,71.89795849508323,8.43517200037091,0.06335409099921391,0.03773533565673221,0.0057462889259999265,0.9086878944828123,0.5858064670706536,7.3800566812221495,48.8374156694515,-23.377464704476665
22.0,141.75500932399254,76.27610374967367,30.661214606941314,0.06102199643364713,0.03849255937199236,0.008200583811952343,0.9135544809991814,0.6035602973456845,5.4201039567602045,52.64727886582495,-27.87732681425155
23.0,149.67249525909702,80.68352554109525,-16.355086085877257,0.06092620565644274,0.03937211662851303,0.011148139457121323,0.9112724197313746,0.6219776643558629,3.8220107300421806,55.30478342646227,-32.79462676815792
24.0,130.5147693542212,85.1140580175144,8.310024858333398,0.06339416017680273,0.04034103504311547,0.01451372126091762,0.9022892697621167,0.6408573323814835,5.103190658110825,56.520324720508874,-38.09852856064064
25.0,148.57253606590388,89.5764354264743,-5.471546704342702,0.06844504473732207,0.04135815786656327,0.018194115052683084,0.8881037762815249,0.6599078183184396,9.907039615516286,55.960829082274756,-43.75083973393393
26.0,197.1930055883066,94.09533882003902,4.649769254529372,0.07567632372495436,0.042380028887111273,0.022079956655702945,0.8710161637521214,0.6788563173165406,14.10647986258695,53.425640578639275,-49.7017036246832
